"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"11505",139297,1,43,1,2,1
"11507",24547,1,33,2,1,2
"11508",52510.1445,2,35,1,2,2
"11510",16994,3,35,2,1,2
"11511",20770,8,59,2,1,1
"11513",28323,3,37,2,2,1
"11514",755,3,44,2,3,2
"11515",13595,1,29,1,2,2
"11516",56647,10,48,1,1,2
"11517",8308,5,60,2,1,2
"11519",56647,3,37,1,2,2
"11520",20770,4,62,1,1,1
"11521",16994,3,65,2,3,1
"11523",3021,9,20,2,2,1
"11525",16994,5,23,1,2,2
"11526",9819,3,29,2,1,1
"11529",6798,3,56,3,1,2
"11530",32100,0,51,3,1,1
"11532",20770,1,25,1,1,2
"11533",5287,0,20,1,2,2
"11536",139297,1,62,1,1,2
"11537",6798,2,31,2,2,2
"11539",56647,5,33,2,1,2
"11540",32100,2,21,1,2,2
"11546",28323,4,50,2,1,2
"11547",28323,5,41,1,2,2
"11548",13595,16,26,2,1,1
"11549",13595,4,60,1,2,1
"11551",755,4,19,2,1,2
"11553",5287,2,55,3,3,1
"11554",13595,3,37,2,3,2
"11555",16994,6,27,1,1,2
"11556",13595,3,23,2,1,2
"11559",56647,2,37,3,1,2
"11562",755,1,31,1,1,2
"11563",24547,5,24,1,2,2
"11567",24547,2,28,2,2,2
"11568",56647,3,53,2,1,2
"11569",5287,1,24,2,1,2
"11573",28323,1,42,1,2,2
"11574",28323,13,32,3,3,1
"11576",5287,6,31,2,2,1
"11577",5287,1,34,2,2,2
"11578",16994,5,20,2,3,2
"11579",755,6,29,2,2,1
"11580",3021,2,26,2,1,2
"11581",13595,9,37,2,1,2
"11582",8308,0,39,2,2,2
"11583",755,8,19,2,2,2
"11585",24547,2,23,2,2,2
"11587",20770,2,26,1,2,1
"11589",8308,5,27,2,1,2
"11591",16994,1,21,2,2,2
"11593",11329,10,59,2,2,1
"11597",3021,1,22,2,2,1
"11598",11329,6,61,2,3,1
"11599",56647,3,42,1,1,1
"11602",28323,10,46,1,1,2
"11603",28323,7,40,1,2,1
"11604",16994,5,24,1,2,1
"11605",16994,4,34,3,2,2
"11607",13595,2,65,1,1,2
"11608",13595,1,22,2,2,1
"11611",56647,5,48,2,2,1
"11612",56647,6,57,2,1,1
"11613",52510.1445,2,42,2,1,2
"11614",13595,5,24,1,1,2
"11616",52510.1445,3,59,3,3,2
"11617",755,4,27,1,2,1
"11618",20770,6,57,2,2,2
"11620",56647,4,40,2,2,2
"11621",9819,4,48,2,2,1
"11622",24547,5,50,1,1,2
"11623",8308,1,38,2,2,1
"11624",16994,4,20,2,2,1
"11625",32100,7,59,3,4,1
"11627",52510.1445,2,37,2,1,2
"11628",52510.1445,1,41,2,2,1
"11629",56647,2,37,2,2,1
"11630",13595,6,63,1,2,1
"11632",9819,2,59,2,3,2
"11635",24547,1,34,2,1,1
"11636",6798,5,56,2,3,1
"11637",56647,8,58,1,2,1
"11638",32100,3,55,1,1,1
"11639",20770,3,31,2,2,1
"11641",9819,2,51,1,2,1
"11642",24547,2,24,2,2,1
"11643",28323,3,59,2,2,1
"11645",56647,2,48,2,2,2
"11646",3021,4,34,1,1,2
"11647",56647,1,50,2,2,2
"11648",28323,1,28,1,1,1
"11650",56647,0,37,2,1,2
"11651",56647,2,59,2,2,1
"11652",8308,7,23,2,2,2
"11653",28323,6,24,3,1,2
"11654",20770,6,45,1,2,2
"11662",9819,15,60,2,4,1
"11664",6798,4,27,2,1,1
"11666",20770,1,30,1,2,2
"11667",16994,4,25,1,2,2
"11668",56647,2,52,2,2,2
"11669",6798,3,60,3,4,2
"11672",11329,4,28,2,2,2
"11674",3021,1,29,1,1,2
"11675",13595,5,35,1,2,2
"11676",52510.1445,1,40,2,2,2
"11677",6798,5,50,1,4,2
"11678",16994,2,29,3,2,2
"11679",24547,3,60,1,2,1
"11680",755,9,29,1,1,2
"11681",16994,3,59,2,3,2
"11682",13595,11,38,1,1,2
"11683",16994,1,35,2,2,2
"11684",24547,7,58,1,1,1
"11686",13595,8,56,1,1,1
"11687",24547,5,57,1,2,2
"11688",24547,6,57,2,2,2
"11689",3021,13,44,1,2,1
"11691",56647,1,33,2,1,2
"11692",6798,2,27,2,3,2
"11693",32100,0,64,1,2,1
"11694",3021,12,67,3,4,1
"11697",56647,1,38,1,1,2
"11699",24547,4,35,2,2,2
"11700",32100,1,60,2,3,2
"11701",20770,7,28,2,2,2
"11702",32100,10,44,2,1,2
"11703",8308,7,57,1,2,2
"11704",16994,12,30,1,1,2
"11705",755,1,65,1,1,1
"11706",8308,1,30,2,2,2
"11707",16994,1,25,1,2,2
"11708",32100,4,33,3,2,2
"11709",13595,4,42,2,2,2
"11711",28323,5,41,1,1,1
"11712",28323,1,30,1,1,2
"11713",20770,4,31,2,1,1
"11717",11329,1,31,1,2,2
"11718",28323,12,41,2,3,2
"11719",32100,4,54,1,2,1
"11721",5287,3,20,1,2,1
"11724",32100,1,34,2,1,1
